Indv.,Flowering date,Ln(Flowering date)
Dsyl_GWAS_1,26,3.258096538
Dsyl_GWAS_2,38,3.63758616
Dsyl_GWAS_3,33,3.496507561
Dsyl_GWAS_4,29,3.36729583
Dsyl_GWAS_5,43,3.761200116
Dsyl_GWAS_6,26,3.258096538
Dsyl_GWAS_7,24,3.17805383
Dsyl_GWAS_8,26,3.258096538
Dsyl_GWAS_9,57,4.043051268
Dsyl_GWAS_10,50,3.912023005
Dsyl_GWAS_11,57,4.043051268
Dsyl_GWAS_12,50,3.912023005
Dsyl_GWAS_13,57,4.043051268
Dsyl_GWAS_14,40,3.688879454
Dsyl_GWAS_15,50,3.912023005
Dsyl_GWAS_16,52,3.951243719
Dsyl_GWAS_17,65,4.17438727
Dsyl_GWAS_18,20,2.995732274
Dsyl_GWAS_19,57,4.043051268
Dsyl_GWAS_20,65,4.17438727
Dsyl_GWAS_21,24,3.17805383
Dsyl_GWAS_22,65,4.17438727
Dsyl_GWAS_23,47,3.850147602
Dsyl_GWAS_24,20,2.995732274
Dsyl_GWAS_25,13,2.564949357
Dsyl_GWAS_26,17,2.833213344
Dsyl_GWAS_27,12,2.48490665
Dsyl_GWAS_28,17,2.833213344
Dsyl_GWAS_29,15,2.708050201
Dsyl_GWAS_30,54,3.988984047
Dsyl_GWAS_31,52,3.951243719
Dsyl_GWAS_32,10,2.302585093
Dsyl_GWAS_33,8,2.079441542
Dsyl_GWAS_34,8,2.079441542
Dsyl_GWAS_35,3,1.098612289
Dsyl_GWAS_36,8,2.079441542
Dsyl_GWAS_37,8,2.079441542
Dsyl_GWAS_38,5,1.609437912
Dsyl_GWAS_39,8,2.079441542
Dsyl_GWAS_40,11,2.397895273
Dsyl_GWAS_41,8,2.079441542
Dsyl_GWAS_42,8,2.079441542
Dsyl_GWAS_43,10,2.302585093
Dsyl_GWAS_44,12,2.48490665
Dsyl_GWAS_45,11,2.397895273
Dsyl_GWAS_46,14,2.63905733
Dsyl_GWAS_47,12,2.48490665
Dsyl_GWAS_48,8,2.079441542
Dsyl_GWAS_49,8,2.079441542
Dsyl_GWAS_50,8,2.079441542
Dsyl_GWAS_51,12,2.48490665
Dsyl_GWAS_52,8,2.079441542
Dsyl_GWAS_53,8,2.079441542
Dsyl_GWAS_54,16,2.772588722
Dsyl_GWAS_55,2,0.693147181
Dsyl_GWAS_57,11,2.397895273
Dsyl_GWAS_58,10,2.302585093
Dsyl_GWAS_59,10,2.302585093
Dsyl_GWAS_60,8,2.079441542
Dsyl_GWAS_61,14,2.63905733
Dsyl_GWAS_62,11,2.397895273
Dsyl_GWAS_63,13,2.564949357
Dsyl_GWAS_64,10,2.302585093
Dsyl_GWAS_65,15,2.708050201
Dsyl_GWAS_66,17,2.833213344
Dsyl_GWAS_67,15,2.708050201
Dsyl_GWAS_68,23,3.135494216
Dsyl_GWAS_69,12,2.48490665
Dsyl_GWAS_70,13,2.564949357
Dsyl_GWAS_71,13,2.564949357
Dsyl_GWAS_72,14,2.63905733
Dsyl_GWAS_73,12,2.48490665
Dsyl_GWAS_74,17,2.833213344
Dsyl_GWAS_75,18,2.890371758
Dsyl_GWAS_76,12,2.48490665
Dsyl_GWAS_77,8,2.079441542
Dsyl_GWAS_78,12,2.48490665
Dsyl_GWAS_79,8,2.079441542
Dsyl_GWAS_80,12,2.48490665
Dsyl_GWAS_81,13,2.564949357
Dsyl_GWAS_82,14,2.63905733
Dsyl_GWAS_83,18,2.890371758
Dsyl_GWAS_84,20,2.995732274
Dsyl_GWAS_85,11,2.397895273
Dsyl_GWAS_86,12,2.48490665
Dsyl_GWAS_87,12,2.48490665
Dsyl_GWAS_88,11,2.397895273
Dsyl_GWAS_89,18,2.890371758
Dsyl_GWAS_90,11,2.397895273
Dsyl_GWAS_91,14,2.63905733
Dsyl_GWAS_92,17,2.833213344
Dsyl_GWAS_93,15,2.708050201
Dsyl_GWAS_94,14,2.63905733
Dsyl_GWAS_95,16,2.772588722
Dsyl_GWAS_96,21,3.044522438